Subject,Start Date
"Saladin marries Nur ad-Din's widow, claims legitimacy over Syria",03/20/1178
Frederick Barbarossa crowned king of Burgundy at Arles,07/18/1178
Baldwin IV the Leper king rules Jerusalem,12/09/1178
Third Lateran Council - Pope Alexander III strengthens reform,03/05/1179
Battle of Marj Ayyun - Saladin defeats Crusaders,06/10/1179
"Hildegard of Bingen, German mystic and composer, dies",09/17/1179
Andronikos I Komnenos begins civil war in Byzantine Empire,05/27/1180
Philip II Augustus becomes king of France,09/18/1180
Louis VII of France dies,09/18/1180
Francis of Assisi born,03/24/1181
Saladin captures several Crusader fortresses in Jordan,08/16/1181
Pope Alexander III dies,08/30/1181
Andronikos I Komnenos orchestrates massacre of Latins in Constantinople,04/19/1182
Saladin's raids into Crusader territory intensify,05/01/1182
Philip II expels Jews from France,06/09/1182
Baldwin V becomes king of Jerusalem (child),03/24/1183
"Saladin captures Aleppo, unifies Syria and Egypt",05/27/1183
Peace of Constance - Barbarossa recognizes Lombard cities' autonomy,06/25/1183
Henry the Lion exiled by Frederick Barbarossa,01/12/1184
Baldwin IV the Leper king of Jerusalem dies,02/25/1184
Andronikos I Komnenos executes rivals in Byzantine Empire,09/13/1184
Second Bulgarian Empire established under Asen brothers,03/16/1185
Normans from Sicily sack Thessaloniki,07/19/1185
"Andronikos I Komnenos overthrown and killed, Isaac II Angelos becomes emperor",09/12/1185
Saladin defeats Guy of Lusignan at Battle of Cresson,03/13/1186
Delhi Sultanate precursor established under Muhammad Ghori,06/18/1186
Bulgaria re-established as independent state,07/29/1186
Guy of Lusignan becomes king of Jerusalem,09/19/1186
Saladin captures Jerusalem,07/15/1187
Pope Gregory VIII calls Third Crusade after fall of Jerusalem,10/29/1187
Saladin consolidates control over most of Holy Land,02/05/1188
"Frederick Barbarossa, Philip II, and Richard I take the Cross for Third Crusade",06/19/1188
Henry II of England and Philip II at war over inheritance,08/03/1188
Richard I (Lionheart) crowned King of England,01/14/1189
Genghis Khan unifies Mongol tribes,07/29/1189
Siege of Acre begins - Crusaders besiege Saladin-held Acre,08/28/1189
Third Crusade begins,10/09/1189
Massacre of York - Jewish community destroyed in England,03/16/1190
Frederick Barbarossa drowns in Saleph River during Third Crusade,06/10/1190
Richard I of England and Philip II of France begin crusade,11/23/1190
Holy Roman Empire - Frederick Barbarossa drowned on Crusade,11/28/1190
Richard I captures Cyprus from Byzantine ruler Isaac Komnenos,06/16/1191
Acre falls to Crusaders after long siege,07/12/1191
Battle of Arsuf - Richard I defeats Saladin,09/07/1191
Kamakura Shogunate established in Japan,02/28/1192
"Third Crusade ends, Jerusalem remains in Muslim hands",08/30/1192
Richard I and Saladin sign Treaty of Jaffa,09/02/1192
Treaty of Jaffa ends Third Crusade,09/21/1192
Richard I captured by Duke Leopold of Austria while returning home,12/21/1192
Richard I held prisoner by Holy Roman Emperor Henry VI,03/01/1193
"Saladin dies, Ayyubid kingdom divided among his successors",03/04/1193
Delhi Sultanate founded by Qutb al-Din Aibak,03/20/1193
Richard I ransomed and released from imperial captivity,02/04/1194
Henry VI of Germany conquers Kingdom of Sicily,10/27/1194
Frederick II born (future Holy Roman Emperor),12/26/1194
Sultanate of Rum founded,12/28/1194
Battle of Alarcos - Almohads defeat Alfonso VIII of Castile,07/19/1195
Celestine III as pope negotiates Richard I's release,11/30/1195
Isaac II Angelos deposed by his brother Alexios III in Byzantium,12/17/1195
Richard I builds Chateau Gaillard to defend Normandy from France,02/17/1196
"Henry VI demands Crusade, plans to conquer Byzantine Empire",05/23/1196
Amalric II becomes king of Cyprus and Jerusalem,08/23/1196
Teutonic Knights founded during siege of Acre,08/01/1197
"Henry VI, Holy Roman Emperor, dies unexpectedly in Sicily",09/28/1197
German civil war for throne begins between Hohenstaufen and Welfs,10/04/1197
"Pope Innocent III elected, most powerful medieval pope",01/08/1198
Richard I of England killed at siege of Chalus,01/14/1198
"Averroes (Ibn Rushd), Islamic philosopher, dies",12/11/1198
"Richard I (Lionheart) dies, John becomes king of England",04/06/1199
Battle of Courcelles - Philip II defeats John of England,06/04/1199
Innocent III launches crusade against Cathar heresy,06/15/1199
Treaty of Le Goulet - John of England cedes territory to France,05/30/1200
Fourth Crusade preparation begins under Pope Innocent III,08/14/1200
Nalanda University in India burned by Muhammad of Ghor,10/22/1200
Mongol tribes begin consolidating under Genghis Khan's rivals,02/23/1201
Fourth Crusade Venice contract signed,04/20/1201
Crusaders agree to attack Constantinople instead of Egypt,08/13/1201
Genghis Khan defeats rival Tatars in Mongolia,05/10/1202
Pope Innocent III protests the sack of Zara,05/22/1202
Battle of Basian - Kingdom of Georgia defeats Seljuks,07/27/1202
Battle of Mirebeau,08/01/1202
"Fourth Crusade departs, captures Zara for Venice",09/17/1202
Fibonacci introduces Liber Abaci,11/15/1202
Qutb al-Din Aibak captures Delhi for Muhammad of Ghor,01/26/1203
"Fourth Crusade diverted to Constantinople, Alexios IV restores Isaac II",03/26/1203
Alexios III flees Constantinople before Crusaders,05/20/1203
Philip II of France captures Normandy from England,07/22/1204
Latin Empire founded,08/03/1204
Byzantine Empire fragmented into successor states,08/12/1204
Islamization of Bengal begins under Bakhtiyar Khalji,09/16/1204
"Fourth Crusade sacks Constantinople, creates Latin Empire",12/19/1204
Battle of Adrianople - Bulgarians defeat Crusaders,04/14/1205
Nicaean Empire established by Byzantine Greeks,05/26/1205
Latin Empire of Constantinople established by Crusaders,08/09/1205
Qutb al-Din Aibak founds Delhi Sultanate independently,02/19/1206
Delhi Sultanate founded,02/27/1206
Genghis Khan proclaimed ruler of all Mongols at kurultai,04/30/1206
Delhi Sultanate established in India,06/09/1206
Genghis Khan declared Great Khan of the Mongols,08/24/1206
Francis of Assisi begins his religious mission,10/26/1206
Mongol Empire founded,11/11/1206
Pope Innocent III preaches crusade against Albigensian (Cathar) heresy,02/02/1207
"Muhammad of Ghor dies, Aibak becomes independent in India",06/21/1207
Rumi (Jalal al-Din Muhammad) born in Balkh,09/30/1207
"Peter of Castelnau, papal legate, assassinated - triggers crusade",01/15/1208
Pope Innocent III places France under interdict due to Philip II's marriage,03/08/1208
Albigensian Crusade begins in southern France,11/24/1208
Albigensian Crusade declared by Pope Innocent III,03/31/1209
Albigensian Crusade massacre at Beziers kills thousands,07/22/1209
Otto IV crowned Holy Roman Emperor,10/24/1209
Francis of Assisi receives approval for his order from Pope Innocent III,11/09/1209
Franciscan Order formally founded by Francis of Assisi,03/06/1210
Pope Innocent III excommunicates Otto IV,08/22/1210
Mongols begin raids into China under Genghis Khan,10/10/1210
Frederick II crowned king of Germany,03/06/1211
Genghis Khan invades Jin dynasty China,04/02/1211
Simon de Montfort leads Albigensian Crusade victories in France,05/26/1211
Battle of Las Navas de Tolosa - Christian Reconquista advances,04/15/1212
Frederick II crosses Alps to claim German throne,04/19/1212
Battle of Las Navas de Tolosa - Christians defeat Almohads decisively,07/16/1212
Children's Crusade - thousands of children head toward Holy Land,09/10/1212
Pope Innocent III calls Fifth Crusade,06/13/1213
Battle of Muret - Simon de Montfort defeats Aragon and Cathars,09/12/1213
Peter II of Aragon killed at Battle of Muret,09/12/1213
Battle of Bouvines - Philip II defeats Otto IV and English,07/27/1214
"Roger Bacon born, English friar and early scientist",09/30/1214
Frederick II recognized as Holy Roman Emperor by Philip II,10/26/1214
Magna Carta signed by King John at Runnymede,08/08/1215
Genghis Khan captures Beijing (Zhongdu) from Jin dynasty,11/07/1215
Fourth Lateran Council - major Church reform under Innocent III,11/11/1215
Dominican Order of Friars founded by Dominic de Guzman,06/21/1216
Pope Innocent III dies,07/16/1216
"King John of England dies, Henry III becomes king as child",10/19/1216
King Andrew II of Hungary leads Crusade,03/18/1217
Crusaders besiege Damietta in Egypt,04/02/1217
Fifth Crusade,04/13/1217
Fifth Crusade begins with attack on Egypt,05/05/1217
Kingdom of Serbia founded,06/19/1217
Genghis Khan begins invasion of Khwarazmian Empire,01/17/1218
Simon de Montfort killed at siege of Toulouse,06/25/1218
Crusaders capture Damietta in Egypt,08/28/1218
Francis of Assisi meets Sultan al-Kamil of Egypt during Crusade,04/28/1219
Battle of Damietta - Crusaders fail to advance,06/05/1219
"Mongols destroy Otrar, gateway city of Khwarezm",06/22/1219
"Fifth Crusade fails at Damietta, crusaders expelled from Egypt",03/20/1220
"Mongols sack Samarkand, Bukhara, and major Central Asian cities",04/07/1220
Kingdom of Mapungubwe established,10/01/1220
Mongol invasion of Khwarazmian Empire destroys Merv and Herat,05/27/1221
Genghis Khan conquers most of Khwarazmian Empire,07/12/1221
"Fifth Crusade ends in failure, Crusaders surrender at Damietta",09/06/1221
"Mongols cross the Indus River, raid India",09/22/1221
Genghis Khan's generals Subutai and Jebe raid the Caucasus,03/23/1222
Golden Bull of Hungary signed by Andrew II,04/19/1222
"Andrew II of Hungary issues Golden Bull, limiting royal power",05/12/1222
Battle of Kalka River - Mongols defeat Russians and Cumans,07/15/1222
Battle of the Kalka River - Mongols defeat Russian princes,03/28/1223
Philip II Augustus of France dies,07/14/1223
Frederick II founds University of Naples,02/28/1224
Francis of Assisi receives the stigmata,03/05/1224
"Fifth Crusade aftermath, negotiations for Jerusalem begin",07/13/1224
Tran dynasty of Vietnam established,05/30/1225
Al-Kamil of Egypt offers Jerusalem to Frederick II in negotiations,09/24/1225
Magna Carta reissued in final form,10/01/1225
Thomas Aquinas born,12/25/1225
Francis of Assisi dies,10/03/1226
Louis IX (Saint Louis) becomes king of France as child,11/08/1226
Louis VIII of France conquers much of southern France,11/10/1226
Pope Gregory IX elected,05/10/1227
Genghis Khan dies,05/30/1227
Frederick II excommunicated for delaying Crusade,06/28/1227
"Genghis Khan dies, Mongol Empire divided among sons",08/18/1227
Frederick II leads Sixth Crusade despite excommunication,01/01/1228
Ogedei Khan becomes Great Khan of the Mongols,07/14/1228
Sixth Crusade - Frederick II returns Jerusalem,10/31/1228
Frederick II negotiates return of Jerusalem diplomatically,11/04/1228
Ahom Kingdom founded,11/30/1228
"Treaty of Paris ends Albigensian Crusade, Cathars suppressed",02/17/1229
"Frederick II regains Jerusalem through diplomacy, crowns himself king",03/18/1229
University of Toulouse founded,10/10/1229
Mongol Empire begins expansion under Ogedei Khan,01/02/1230
Frederick II reconciled with Pope Gregory IX,01/06/1230
Kingdom of Castile and Leon reunited under Ferdinand III,03/21/1230
Emirate of Granada founded,11/07/1230
Frederick II promulgates Constitutions of Melfi,02/09/1231
Mongols invade Persia under Ogedei Khan,02/14/1231
"Anthony of Padua dies, canonized quickly after",06/13/1231
Pope Gregory IX establishes Papal Inquisition to fight heresy,09/07/1231
"Nasrid dynasty founded in Granada, last Muslim kingdom in Spain",02/15/1232
Rockets invented,04/03/1232
"Mongols besiege Kaifeng, capital of Jin dynasty",07/25/1232
Papal Inquisition established formally in Aragon,08/08/1232
Mongols invade Korea,08/30/1232
Pope Gregory IX orders burning of Talmud,01/01/1233
Dominican and Franciscan inquisitors appointed in Germany,04/03/1233
Mongols complete conquest of Jin dynasty northern China,05/06/1233
Mongols complete destruction of Jin dynasty,10/10/1234
"Frederick II issues Statute of the Princes, strengthening German princes",11/07/1234
Pope Gregory IX and Frederick II relations deteriorate,12/13/1234
"Battle of Kirina - Sundiata Keita defeats Sumanguru of Sosso, founds Mali Empire",01/29/1235
Mandinka kingdoms unite to form Mali Empire,03/15/1235
Frederick II issues law code for Sicily,07/28/1235
Mongols under Ogedei build capital Karakorum,09/14/1235
Mongols conquer Volga Bulgaria,01/20/1236
Grand Duchy of Lithuania founded,04/30/1236
Mongol invasion of Eastern Europe begins under Batu Khan and Subutai,06/21/1236
Ferdinand III of Castile captures Cordoba from Moors,06/29/1236
Mongol Empire conquers Kievan Rus,02/27/1237
"Teutonic Knights defeat Livonian Brothers, merge orders",09/25/1237
Pope Gregory IX declares crusade against Frederick II,11/15/1237
Mongols destroy Ryazan and begin conquest of Russia,12/22/1237
Sukhothai becomes capital of Sukhothai Kingdom,01/18/1238
Mongols sack Vladimir and destroy northern Russian principalities,02/25/1238
James I of Aragon captures Valencia from Moors,09/28/1238
Mongols reach Novgorod but turn back due to spring thaw,11/30/1238
Barons' War begins in England over Henry III's rule,01/17/1239
Frederick II excommunicated again by Pope Gregory IX,08/02/1239
Mongols campaign in the Caucasus region,10/12/1239
Mongols under Batu and Subutai invade Poland and Hungary,04/07/1240
Battle of the Neva - Alexander Nevsky defeats Swedish invasion,07/15/1240
"Mongols sack Kiev, destroying major Russian principality",12/06/1240
Battle of Legnica - Mongols defeat Polish-German forces,04/09/1241
Mongol Empire defeats Hungary at Battle of Mohi,09/22/1241
"Ogedei Khan dies, Mongol invasion of Europe halted",12/11/1241
Battle of Lake Peipus - Russians defeat Teutonic Knights,02/12/1242
Battle of the Ice - Alexander Nevsky defeats Teutonic Knights on frozen Lake Peipus,04/05/1242
Mongols withdraw from Central Europe after Ogedei's death,04/07/1242
Golden Horde founded,08/26/1242
Sainte-Chapelle construction begins in Paris,11/23/1242
Battle of Kose Dag - Mongols defeat Seljuk Sultanate of Rum,06/26/1243
Latin Empire of Constantinople weakens,07/09/1243
Guyuk elected Great Khan of Mongols,11/15/1243
"Cathar fortress Montsegur falls, Catharism effectively ended in France",03/16/1244
Khwarazmian Turks capture Jerusalem for last time from Crusaders,08/23/1244
Battle of La Forbie - Crusaders and Ayyubids defeated by Khwarazmians,10/17/1244
First Council of Lyon deposes Frederick II,07/17/1245
"Pope Innocent IV calls council at Lyon, condemning Frederick II",10/21/1245
Giovanni da Pian del Carpine sent as papal envoy to Mongol court,11/27/1245
Henry Raspe elected anti-king in Germany by pope's supporters,04/13/1246
Guyuk Khan dies after short reign as Great Khan,09/26/1246
"Giovanni da Pian del Carpine reaches Karakorum, meets Guyuk Khan",12/27/1246
